fid,NOMBDEP,NOMBPROV,NOMBDIST,UBIGEO,IR2,p65,p05
"14",LAMBAYEQUE,CHICLAYO,NUEVA ARICA,"140109",2.7082,320.000,"148"
"9",LAMBAYEQUE,CHICLAYO,CAYALTI,"140116",3.775,2805.000,"1299"
"12",LAMBAYEQUE,CHICLAYO,OYOTUN,"140110",3.0713,1070.000,"843"
"25",LAMBAYEQUE,CHICLAYO,PUCALA,"140119",3.1727,1246.000,"719"
"30",LAMBAYEQUE,LAMBAYEQUE,MORROPE,"140306",8.6483,7.000,"14"
"31",LAMBAYEQUE,FERREÑAFE,PITIPO,"140205",5.8462,2165.000,"2616"
"41",LAMBAYEQUE,LAMBAYEQUE,PACORA,"140309",5.6261,768.000,"670"
"35",LAMBAYEQUE,LAMBAYEQUE,OLMOS,"140308",7.2147,4061.000,"4758"
"27",LAMBAYEQUE,LAMBAYEQUE,JAYANCA,"140304",4.5268,1867.000,"1911"
"39",LAMBAYEQUE,LAMBAYEQUE,SALAS,"140310",5.1404,1294.000,"1560"
"21",LAMBAYEQUE,FERREÑAFE,INCAHUASI,"140203",2.0233,853.000,"1641"
"2",PIURA,SECHURA,SECHURA,"200801",5.1234,1269.000,"3282"
"37",LAMBAYEQUE,LAMBAYEQUE,MOTUPE,"140307",5.3397,2652.000,"2630"
"32",LAMBAYEQUE,LAMBAYEQUE,CHOCHOPE,"140302",2.9061,119.000,"122"
"40",PIURA,HUANCABAMBA,HUARMACA,"200304",2.957,1890.000,"2914"
"50",PIURA,MORROPON,SALITRAL,"200406",3.4005,958.000,"818"
"3",PIURA,SECHURA,CRISTO NOS VALGA,"200804",4.9207,290.000,"550"
"48",PIURA,MORROPON,LA MATANZA,"200404",6.375,1301.000,"1181"
"17",PIURA,SECHURA,VICE,"200805",6.219,978.000,"2342"
"16",PIURA,SECHURA,RINCONADA LLICUAR,"200806",4.8908,353.000,"324"
"4",PIURA,SECHURA,BERNAL,"200803",5.8009,681.000,"983"
"42",PIURA,HUANCABAMBA,SAN MIGUEL DE EL FAIQUE,"200306",4.0478,875.000,"1028"
"1",PIURA,SECHURA,BELLAVISTA DE LA UNION,"200802",5.8012,416.000,"474"
"45",PIURA,PAITA,PAITA,"200501",4.8442,5049.000,"12189"
"49",PIURA,MORROPON,SAN JUAN DE BIGOTE,"200407",3.6094,687.000,"646"
"36",PIURA,MORROPON,BUENOS AIRES,"200402",4.4559,1076.000,"732"
"33",PIURA,MORROPON,CHULUCANAS,"200401",7.8393,7742.000,"7246"
"38",PIURA,HUANCABAMBA,LALAQUIZ,"200305",1.1494,568.000,"460"
"46",PIURA,MORROPON,YAMANGO,"200410",2.6461,1102.000,"1040"
"47",PIURA,MORROPON,MORROPON,"200405",5.6955,1694.000,"1290"
"44",PIURA,MORROPON,SANTA CATALINA DE MOSSA,"200408",1.8331,568.000,"421"
"34",PIURA,MORROPON,CHALACO,"200403",0.6489,1239.000,"962"
"43",PIURA,MORROPON,SANTO DOMINGO,"200409",1.095,1253.000,"618"
"57",PIURA,PAITA,LA HUACA,"200505",4.1092,1104.000,"1247"
"65",PIURA,SULLANA,MIGUEL CHECA,"200606",5.3966,972.000,"1170"
"67",LAMBAYEQUE,CHICLAYO,CHONGOYAPE,"140102",3.7188,2193.000,"1635"
"68",PIURA,PIURA,EL TALLAN,"200108",5.3276,359.000,"629"
"69",PIURA,PIURA,CURA MORI,"200107",7.4107,1593.000,"2461"
"70",PIURA,PIURA,LA UNION,"200110",6.3506,3071.000,"5019"
"71",PIURA,PIURA,LA ARENA,"200109",8.5596,3126.000,"4823"
"72",PIURA,PIURA,PIURA,"200101",5.4607,12737.000,"14866"
"73",PIURA,PIURA,CATACAOS,"200105",10,5908.000,"7801"
"74",PIURA,PIURA,CASTILLA,"200104",6.9004,11936.000,"15304"
"81",PIURA,PIURA,VEINTISEIS DE OCTUBRE,"200115",5.649,9657.000,"11273"
"82",PIURA,HUANCABAMBA,HUANCABAMBA,"200301",1.7288,159.000,"191"
"84",PIURA,HUANCABAMBA,CANCHAQUE,"200302",2.2395,1028.000,"774"
"51",PIURA,PAITA,VICHAYAL,"200507",4.5621,582.000,"529"
"52",PIURA,PAITA,TAMARINDO,"200506",3.5897,575.000,"472"
"6",PIURA,TALARA,LA BREA,"200703",3.444,1199.000,"1053"
"5",PIURA,TALARA,LOBITOS,"200704",1.9114,108.000,"141"
"15",TUMBES,TUMBES,SAN JACINTO,"240105",2.9794,34.000,"28"
"8",PIURA,TALARA,LOS ORGANOS,"200705",2.6151,758.000,"950"
"7",PIURA,TALARA,MANCORA,"200706",2.0966,1042.000,"1452"
"24",TUMBES,CONTRALMIRANTE VILLAR,CASITAS,"240202",1.6385,4.000,"2"
"29",TUMBES,CONTRALMIRANTE VILLAR,CANOAS DE PUNTA SAL,"240203",1.2948,19.000,"28"
"53",PIURA,SULLANA,BELLAVISTA,"200602",3.6748,3089.000,"3662"
"54",PIURA,SULLANA,SULLANA,"200601",7.7149,17568.000,"21928"
"55",PIURA,PAITA,ARENAL,"200503",2.3142,153.000,"74"
"56",PIURA,PAITA,AMOTAPE,"200502",3.6271,288.000,"251"
"58",PIURA,PAITA,COLAN,"200504",5.7684,1294.000,"1199"
"59",PIURA,SULLANA,SALITRAL,"200608",2.9564,670.000,"708"
"60",PIURA,SULLANA,QUERECOTILLO,"200607",5.553,2273.000,"2672"
"61",PIURA,TALARA,EL ALTO,"200702",3.507,543.000,"742"
"62",PIURA,TALARA,PARIÑAS,"200701",4.1394,7050.000,"9370"
"63",PIURA,SULLANA,LANCONES,"200604",5.5051,1453.000,"1326"
"64",PIURA,SULLANA,IGNACIO ESCUDERO,"200603",5.4251,1787.000,"2316"
"66",PIURA,SULLANA,MARCAVELICA,"200605",4.4828,2481.000,"3025"
"75",PIURA,AYABACA,JILILI,"200203",0.5142,292.000,"291"
"76",PIURA,AYABACA,FRIAS,"200202",3.5168,2157.000,"3326"
"77",PIURA,AYABACA,MONTERO,"200205",2.4938,868.000,"762"
"78",PIURA,AYABACA,LAGUNAS,"200204",1.9201,480.000,"888"
"79",PIURA,PIURA,TAMBO GRANDE,"200114",9.2369,9806.000,"14947"
"80",PIURA,PIURA,LAS LOMAS,"200111",6.3585,2276.000,"3153"
"83",PIURA,AYABACA,SUYO,"200210",3.2883,1109.000,"1564"
"85",PIURA,AYABACA,PAIMAS,"200207",2.7375,837.000,"1301"
"86",PIURA,AYABACA,SAPILLICA,"200208",1.1649,983.000,"1803"
